Age,Sex,Pclass,SibSp,Parch,Fare,Survived
28.0,1,3,0,0,7.75,0
42.0,1,3,0,1,8.4,0
28.0,0,3,0,0,7.75,1
24.0,0,2,0,0,13.0,0
28.0,1,3,0,0,9.5,0
28.0,1,3,8,2,69.55,0
34.0,1,3,0,0,6.5,0
45.5,1,3,0,0,7.22,0
18.0,1,3,0,0,8.05,1
2.0,0,3,0,1,10.46,0
32.0,1,3,1,0,15.85,0
26.0,1,3,0,0,18.79,1
16.0,0,3,0,0,7.75,1
40.0,1,1,0,0,31.0,1
24.0,1,3,0,0,7.05,0
35.0,0,2,0,0,21.0,1
22.0,1,3,0,0,7.25,0
30.0,1,2,0,0,13.0,0
28.0,1,3,1,0,7.75,0
31.0,0,1,1,0,113.28,1
27.0,0,3,0,0,7.92,1
42.0,1,2,1,0,27.0,0
32.0,0,1,0,0,76.29,1
30.0,1,2,0,0,10.5,0
16.0,1,3,0,0,8.05,1
27.0,1,2,0,0,13.0,0
51.0,1,3,0,0,8.05,0
28.0,1,3,0,0,7.9,0
38.0,1,1,1,0,90.0,1
22.0,1,3,0,0,9.35,0
19.0,1,2,0,0,10.5,1
20.5,1,3,0,0,7.25,0
18.0,1,2,0,0,13.0,0
28.0,0,3,3,1,25.47,0
35.0,0,1,1,0,83.48,1
29.0,1,3,0,0,7.78,0
59.0,1,2,0,0,13.5,0
5.0,0,3,4,2,31.39,1
24.0,1,2,0,0,10.5,0
28.0,0,3,0,0,7.55,0
44.0,1,2,1,0,26.0,0
8.0,0,2,0,2,26.25,1
19.0,1,2,0,0,10.5,0
33.0,1,2,0,0,12.28,0
28.0,0,3,1,0,14.45,0
28.0,0,3,1,0,15.5,1
29.0,1,2,0,0,10.5,0
22.0,1,3,0,0,7.12,0
30.0,1,3,0,0,7.22,0
44.0,1,1,2,0,90.0,0
25.0,0,3,0,0,7.78,0
24.0,0,2,0,2,14.5,1
37.0,1,1,1,1,52.55,1
54.0,1,2,1,0,26.0,0
28.0,1,3,0,0,7.25,0
29.0,0,3,1,1,10.46,0
62.0,1,1,0,0,26.55,0
30.0,1,3,1,0,16.1,0
41.0,0,3,0,2,20.21,0
29.0,0,3,0,2,15.25,1
28.0,0,1,0,0,79.2,1
30.0,0,1,0,0,86.5,1
35.0,0,1,0,0,512.33,1
50.0,0,2,0,1,26.0,1
28.0,1,3,0,0,7.75,0
3.0,1,3,4,2,31.39,1
52.0,1,1,1,1,79.65,0
40.0,1,1,0,0,0.0,0
28.0,0,3,0,0,7.75,0
36.0,1,2,0,0,10.5,0
16.0,1,3,4,1,39.69,0
25.0,1,3,1,0,7.78,1
58.0,0,1,0,1,153.46,1
35.0,0,1,0,0,135.63,1
28.0,1,1,0,0,31.0,0
25.0,1,3,0,0,0.0,1
41.0,0,2,0,1,19.5,1
37.0,1,1,0,1,29.7,0
28.0,0,3,0,0,7.75,1
63.0,0,1,1,0,77.96,1
45.0,0,3,0,0,7.75,0
28.0,1,2,0,0,0.0,0
7.0,1,3,4,1,29.12,0
35.0,0,3,1,1,20.25,1
65.0,1,3,0,0,7.75,0
28.0,1,3,0,0,7.85,0
16.0,1,3,0,0,9.5,0
19.0,1,3,0,0,8.05,1
28.0,1,1,0,0,26.0,0
33.0,1,3,0,0,8.66,0
30.0,1,3,0,0,9.5,1
22.0,1,3,0,0,7.9,0
42.0,1,2,0,0,13.0,1
22.0,0,3,0,0,7.75,1
26.0,0,1,0,0,78.85,1
19.0,0,1,1,0,91.08,1
36.0,1,2,0,0,12.88,0
24.0,0,3,0,0,8.85,0
24.0,1,3,0,0,7.9,0
28.0,1,1,0,0,27.72,0
23.5,1,3,0,0,7.23,0
2.0,0,1,1,2,151.55,0
28.0,1,1,0,0,30.5,1
50.0,0,1,0,1,247.52,1
28.0,0,3,0,0,7.75,1
28.0,1,3,2,0,23.25,1
19.0,1,3,0,0,0.0,0
28.0,0,2,0,0,12.35,1
28.0,1,3,0,0,8.05,0
0.9,1,1,1,2,151.55,1
28.0,0,1,0,0,110.88,1
17.0,0,1,1,0,108.9,1
30.0,1,2,1,0,24.0,0
30.0,0,1,0,0,56.93,1
24.0,0,1,0,0,83.16,1
18.0,0,1,2,2,262.38,1
26.0,0,2,1,1,26.0,0
28.0,1,3,0,0,7.9,0
43.0,1,2,1,1,26.25,0
26.0,0,3,0,0,7.85,1
24.0,0,2,1,0,26.0,1
54.0,1,2,0,0,14.0,0
31.0,0,1,0,2,164.87,1
40.0,0,1,1,1,134.5,1
22.0,1,3,0,0,7.25,0
27.0,1,3,0,0,7.9,0
30.0,0,2,0,0,12.35,1
22.0,0,2,1,1,29.0,1
28.0,1,3,8,2,69.55,0
36.0,0,1,0,0,135.63,1
61.0,1,3,0,0,6.24,0
36.0,0,2,0,0,13.0,1
31.0,0,3,1,1,20.52,1
16.0,0,1,0,1,57.98,1
28.0,0,3,2,0,23.25,1
45.5,1,1,0,0,28.5,0
38.0,1,1,0,1,153.46,0
16.0,1,3,2,0,18.0,0
28.0,0,1,1,0,133.65,1
28.0,1,3,0,0,7.9,0
29.0,1,1,1,0,66.6,0
41.0,0,1,0,0,134.5,1
45.0,1,3,0,0,8.05,1
45.0,1,1,0,0,35.5,0
2.0,1,2,1,1,26.0,1
24.0,0,1,3,2,263.0,1
28.0,1,2,0,0,13.0,0
25.0,1,2,0,0,13.0,0
36.0,1,2,0,0,13.0,0
24.0,0,2,0,0,13.0,1
40.0,0,2,0,0,13.0,1
28.0,0,3,1,0,16.1,1
3.0,1,3,1,1,15.9,1
42.0,1,3,0,0,8.66,0
23.0,1,3,0,0,9.22,0
28.0,1,1,0,0,35.0,0
15.0,1,3,1,1,7.23,0
25.0,1,3,1,0,17.8,0
28.0,1,3,0,0,7.22,0
28.0,1,3,0,0,9.5,0
22.0,0,1,0,1,55.0,1
38.0,0,2,0,0,13.0,0
28.0,0,3,0,0,7.88,1
28.0,0,3,0,0,7.88,1
40.0,1,3,1,4,27.9,0
29.0,1,2,1,0,27.72,0
45.0,0,3,0,1,14.45,0
35.0,1,3,0,0,7.05,0
28.0,1,3,1,0,15.5,0
30.0,1,3,0,0,7.25,0
60.0,0,1,1,0,75.25,1
28.0,0,3,0,0,7.23,1
28.0,0,3,0,0,7.75,1
24.0,0,1,0,0,69.3,1
25.0,1,1,1,0,55.44,1
18.0,1,3,1,0,6.5,0
19.0,1,3,0,0,8.05,0
22.0,1,1,0,0,135.63,0
3.0,0,3,3,1,21.08,0
28.0,0,1,1,0,82.17,1
22.0,0,3,0,0,7.25,1
27.0,1,1,0,2,211.5,0
20.0,1,3,0,0,4.01,0
19.0,1,3,0,0,7.78,0
42.0,0,1,0,0,227.52,1
1.0,0,3,0,2,15.74,1
32.0,1,3,0,0,7.92,0
35.0,0,1,1,0,52.0,1
28.0,1,3,0,0,7.9,0
18.0,1,2,0,0,73.5,0
1.0,1,3,5,2,46.9,0
36.0,0,2,0,0,13.0,1
28.0,1,3,0,0,7.73,0
17.0,0,2,0,0,12.0,1
36.0,1,1,1,2,120.0,1
21.0,1,3,0,0,7.8,1
28.0,1,3,2,0,7.92,0
23.0,0,1,1,0,113.28,1
24.0,0,3,0,2,16.7,1
22.0,1,3,0,0,7.8,0
31.0,0,3,0,0,7.85,0
46.0,1,2,0,0,26.0,0
23.0,1,2,0,0,10.5,0
28.0,0,2,0,0,12.65,1
39.0,1,3,0,0,7.92,1
26.0,1,3,0,0,8.05,0
21.0,0,3,1,0,9.82,0
28.0,1,3,1,0,15.85,0
20.0,0,3,0,0,8.66,0
34.0,1,2,1,0,21.0,0
51.0,1,3,0,0,7.75,0
3.0,1,2,1,1,18.75,1
21.0,1,3,0,0,7.78,0
28.0,0,3,3,1,25.47,0
28.0,1,3,0,0,7.9,0
28.0,1,3,0,0,6.86,0
33.0,0,1,1,0,90.0,1
28.0,1,2,0,0,0.0,0
44.0,1,3,0,0,7.92,1
28.0,0,3,0,0,8.05,0
34.0,0,2,1,1,32.5,1
18.0,0,2,0,2,13.0,1
30.0,1,2,0,0,13.0,0
10.0,0,3,0,2,24.15,0
28.0,1,3,0,0,7.9,0
21.0,1,3,0,0,7.73,0
29.0,1,3,0,0,7.88,0
28.0,0,3,1,1,14.4,0
18.0,1,3,1,1,20.21,0
28.0,1,3,0,0,7.25,0
28.0,0,2,1,0,26.0,1
19.0,0,2,0,0,26.0,1
28.0,1,3,0,0,7.75,0
32.0,1,3,0,0,8.05,1
28.0,1,1,0,0,26.55,1
28.0,0,3,1,0,16.1,1
42.0,0,2,1,0,26.0,1
17.0,1,3,0,0,7.12,0
50.0,1,1,1,0,55.9,0
14.0,0,1,1,2,120.0,1
21.0,0,3,2,2,34.38,0
24.0,0,2,2,3,18.75,1
64.0,1,1,1,4,263.0,0
31.0,1,2,0,0,10.5,0
45.0,0,2,1,1,26.25,1
20.0,1,3,0,0,9.5,0
25.0,1,3,1,0,7.78,0
28.0,0,2,0,0,13.0,1
28.0,1,3,0,0,8.11,1
4.0,1,1,0,2,81.86,1
13.0,0,2,0,1,19.5,1
34.0,1,1,0,0,26.55,1
5.0,0,3,2,1,19.26,1
52.0,1,1,0,0,30.5,1
36.0,1,2,1,2,27.75,0
28.0,1,3,1,0,19.97,0
30.0,1,1,0,0,27.75,0
49.0,1,1,1,0,89.1,1
28.0,1,3,0,0,8.05,0
29.0,1,3,0,0,7.9,1
65.0,1,1,0,0,26.55,0
28.0,0,1,1,0,51.86,1
50.0,0,2,0,0,10.5,1
28.0,1,3,0,0,7.75,0
48.0,1,1,0,0,26.55,1
34.0,1,3,0,0,8.05,0
47.0,1,1,0,0,38.5,0
48.0,1,2,0,0,13.0,0
28.0,1,3,0,0,8.05,0
38.0,1,3,0,0,7.05,0
28.0,1,2,0,0,0.0,0
56.0,1,1,0,0,26.55,0
28.0,1,3,0,0,7.72,0
0.8,0,3,2,1,19.26,1
28.0,1,3,0,0,7.25,0
38.0,1,3,0,0,8.66,0
33.0,0,2,1,2,27.75,1
23.0,0,2,0,0,13.79,1
22.0,0,3,0,0,9.84,0
28.0,1,1,0,0,52.0,0
34.0,1,2,1,0,21.0,0
29.0,1,3,1,0,7.05,0
22.0,1,3,0,0,7.52,0
2.0,0,3,0,1,12.29,1
9.0,1,3,5,2,46.9,0
28.0,1,2,0,0,0.0,0
50.0,1,3,0,0,8.05,0
63.0,0,3,0,0,9.59,1
25.0,1,1,1,0,91.08,1
28.0,0,3,3,1,25.47,0
35.0,0,1,1,0,90.0,1
58.0,1,1,0,0,29.7,0
30.0,1,3,0,0,8.05,0
9.0,1,3,1,1,15.9,1
28.0,1,3,1,0,19.97,0
21.0,1,3,0,0,7.25,0
55.0,1,1,0,0,30.5,0
71.0,1,1,0,0,49.5,0
21.0,1,3,0,0,8.05,0
28.0,1,3,0,0,14.46,0
54.0,0,1,1,0,78.27,1
28.0,1,3,0,0,15.1,0
25.0,0,1,1,2,151.55,0
24.0,1,3,0,0,7.8,0
17.0,1,3,0,0,8.66,0
21.0,0,3,0,0,7.75,0
28.0,0,3,0,0,7.63,0
37.0,0,3,0,0,9.59,0
16.0,0,1,0,0,86.5,1
18.0,1,1,1,0,108.9,0
33.0,0,2,0,2,26.0,1
28.0,1,1,0,0,26.55,1
28.0,1,3,0,0,22.52,0
26.0,1,3,0,0,56.5,1
29.0,1,3,0,0,7.75,1
28.0,1,3,0,0,8.05,0
36.0,1,1,0,0,26.29,1
54.0,0,1,1,0,59.4,1
24.0,1,3,0,0,7.5,0
47.0,1,1,0,0,34.02,0
34.0,0,2,0,0,10.5,1
28.0,1,3,0,0,24.15,0
36.0,0,2,1,0,26.0,1
32.0,1,3,0,0,7.9,0
30.0,0,1,0,0,93.5,1
22.0,1,3,0,0,7.9,0
28.0,1,3,0,0,7.22,0
44.0,0,1,0,1,57.98,1
28.0,1,3,0,0,7.23,0
40.5,1,3,0,0,7.75,0
50.0,0,2,0,0,10.5,1
28.0,1,1,0,0,221.78,0
39.0,1,3,0,0,7.92,0
23.0,1,2,2,1,11.5,0
2.0,0,2,1,1,26.0,1
28.0,1,3,0,0,7.23,0
17.0,1,3,1,1,7.23,0
28.0,0,3,0,2,22.36,1
30.0,0,3,0,0,8.66,0
7.0,0,2,0,2,26.25,1
45.0,1,1,0,0,26.55,0
30.0,0,1,0,0,106.42,1
28.0,1,3,0,0,14.5,0
22.0,0,1,0,2,49.5,1
36.0,0,1,0,2,71.0,1
9.0,0,3,4,2,31.28,0
11.0,0,3,4,2,31.28,0
32.0,1,2,1,0,26.0,1
50.0,1,1,1,0,106.42,0
64.0,1,1,0,0,26.0,0
19.0,0,2,1,0,26.0,1
28.0,1,2,0,0,13.86,1
33.0,1,3,1,1,20.52,0
8.0,1,2,1,1,36.75,1
17.0,1,1,0,2,110.88,1
27.0,1,2,0,0,26.0,0
28.0,1,3,0,0,7.83,0
22.0,1,3,0,0,7.22,1
22.0,0,3,0,0,7.78,1
62.0,1,1,0,0,26.55,0
48.0,0,1,1,0,39.6,1
28.0,1,1,0,0,227.52,0
39.0,0,1,1,1,79.65,1
36.0,0,3,1,0,17.4,1
28.0,1,3,0,0,7.75,0
40.0,1,3,0,0,7.9,0
28.0,1,2,0,0,13.5,0
28.0,1,3,0,0,8.05,0
28.0,0,3,0,0,8.05,0
24.0,1,3,2,0,24.15,0
19.0,1,3,0,0,7.9,0
29.0,0,3,0,4,21.08,0
28.0,1,3,0,0,7.23,0
32.0,1,3,0,0,7.85,1
62.0,1,2,0,0,10.5,1
53.0,0,1,2,0,51.48,1
36.0,1,1,0,0,26.39,1
28.0,0,3,0,0,7.75,1
16.0,1,3,0,0,8.05,0
19.0,1,3,0,0,14.5,0
34.0,0,2,0,0,13.0,1
39.0,0,1,1,0,55.9,1
28.0,0,3,1,0,14.46,0
32.0,1,3,0,0,7.92,1
25.0,0,2,1,1,30.0,1
39.0,0,1,1,1,110.88,1
54.0,1,2,0,0,26.0,0
36.0,1,1,0,0,40.12,0
28.0,1,3,0,0,8.71,0
18.0,0,1,0,2,79.65,1
47.0,1,2,0,0,15.0,0
60.0,1,1,1,1,79.2,1
22.0,1,3,0,0,8.05,0
28.0,1,3,0,0,8.05,0
35.0,1,3,0,0,7.12,0
52.0,0,1,1,0,78.27,1
47.0,1,3,0,0,7.25,0
28.0,0,3,0,2,7.75,0
37.0,1,2,1,0,26.0,0
36.0,1,3,1,1,24.15,0
28.0,0,2,0,0,33.0,1
49.0,1,3,0,0,0.0,0
28.0,1,3,0,0,7.22,0
49.0,1,1,1,0,56.93,1
24.0,0,2,2,1,27.0,1
28.0,1,3,0,0,7.9,0
28.0,1,1,0,0,42.4,0
44.0,1,3,0,0,8.05,0
35.0,1,1,0,0,26.55,1
36.0,1,3,1,0,15.55,0
30.0,1,3,0,0,7.9,0
27.0,1,1,0,0,30.5,1
22.0,0,2,1,2,41.58,1
40.0,0,1,0,0,153.46,1
39.0,0,3,1,5,31.28,0
28.0,1,3,0,0,7.05,0
28.0,0,3,1,0,15.5,1
28.0,1,3,0,0,7.75,0
35.0,1,3,0,0,8.05,0
24.0,0,2,1,2,65.0,1
34.0,1,3,1,1,14.4,0
26.0,0,3,1,0,16.1,0
4.0,0,2,2,1,39.0,1
26.0,1,2,0,0,10.5,0
27.0,1,3,1,0,14.45,0
42.0,1,1,1,0,52.55,1
20.0,1,3,1,1,15.74,1
21.0,1,3,0,0,7.85,0
21.0,1,3,0,0,16.1,0
61.0,1,1,0,0,32.32,0
57.0,1,2,0,0,12.35,0
21.0,0,1,0,0,77.96,1
26.0,1,3,0,0,7.9,0
28.0,1,3,0,0,7.73,0
80.0,1,1,0,0,30.0,1
51.0,1,3,0,0,7.05,0
32.0,1,1,0,0,30.5,1
28.0,1,1,0,0,0.0,0
9.0,0,3,3,2,27.9,0
28.0,0,2,0,0,13.0,1
32.0,1,3,0,0,7.92,0
31.0,1,2,1,1,26.25,0
41.0,0,3,0,5,39.69,0
28.0,1,3,1,0,16.1,0
20.0,1,3,0,0,7.85,0
24.0,0,1,0,0,69.3,1
2.0,0,3,3,2,27.9,0
28.0,1,3,0,0,56.5,1
0.8,0,3,2,1,19.26,1
48.0,1,1,1,0,76.73,1
19.0,1,3,0,0,7.9,0
56.0,1,1,0,0,35.5,1
28.0,1,3,0,0,7.55,0
23.0,0,3,0,0,7.55,1
28.0,1,3,0,0,7.9,0
18.0,0,2,0,1,23.0,1
21.0,1,3,0,0,8.43,0
28.0,0,3,0,0,7.83,1
18.0,0,3,0,0,6.75,0
24.0,1,2,2,0,73.5,0
28.0,1,3,0,0,7.9,0
32.0,0,3,1,1,15.5,0
23.0,1,2,0,0,13.0,0
58.0,1,1,0,2,113.28,0
50.0,1,1,2,0,133.65,1
40.0,1,3,0,0,7.22,0
47.0,1,1,0,0,25.59,0
36.0,1,3,0,0,7.5,0
20.0,1,3,1,0,7.92,1
32.0,1,2,2,0,73.5,0
25.0,1,2,0,0,13.0,0
28.0,1,3,0,0,7.78,0
43.0,1,3,0,0,8.05,0
28.0,0,1,1,0,52.0,1
40.0,0,2,1,1,39.0,1
31.0,1,1,1,0,52.0,0
70.0,1,2,0,0,10.5,0
31.0,1,2,0,0,13.0,1
28.0,1,2,0,0,0.0,0
18.0,1,3,0,0,7.78,0
24.5,1,3,0,0,8.05,0
18.0,0,3,0,0,9.84,1
43.0,0,3,1,6,46.9,0
36.0,1,1,0,1,512.33,1
28.0,0,3,0,0,8.14,0
27.0,1,1,0,0,76.73,1
20.0,1,3,0,0,9.22,0
14.0,1,3,5,2,46.9,0
60.0,1,2,1,1,39.0,0
25.0,1,2,1,2,41.58,0
14.0,1,3,4,1,39.69,0
19.0,1,3,0,0,10.17,0
18.0,1,3,0,0,7.8,0
15.0,0,1,0,1,211.34,1
31.0,1,1,1,0,57.0,1
4.0,0,3,0,1,13.42,1
28.0,1,3,0,0,56.5,1
25.0,1,3,0,0,7.22,0
60.0,1,1,0,0,26.55,0
52.0,1,2,0,0,13.5,0
44.0,1,3,0,0,8.05,0
28.0,0,3,0,0,7.73,1
49.0,1,1,1,1,110.88,0
42.0,1,3,0,0,7.65,0
18.0,0,1,1,0,227.52,1
35.0,1,1,0,0,26.29,1
18.0,0,3,0,1,14.45,0
25.0,1,3,0,0,7.74,0
26.0,1,3,1,0,7.85,0
39.0,1,2,0,0,26.0,0
45.0,0,2,0,0,13.5,1
42.0,1,1,0,0,26.29,1
22.0,0,1,0,0,151.55,1
28.0,1,3,1,1,15.25,1
24.0,0,1,0,0,49.5,1
28.0,1,1,0,0,26.55,0
48.0,1,1,1,0,52.0,1
29.0,1,3,0,0,9.48,0
52.0,1,2,0,0,13.0,0
19.0,1,3,0,0,7.65,0
38.0,0,1,0,0,227.52,1
27.0,0,2,0,0,10.5,1
28.0,1,3,0,0,15.5,0
33.0,1,3,0,0,7.78,0
6.0,0,2,0,1,33.0,1
17.0,1,3,1,0,7.05,0
34.0,1,2,0,0,13.0,0
50.0,1,2,0,0,13.0,0
27.0,1,1,1,0,53.1,1
20.0,1,3,0,0,8.66,0
30.0,0,2,3,0,21.0,1
28.0,0,3,0,0,7.74,1
25.0,1,2,1,0,26.0,0
25.0,0,3,1,0,7.92,0
29.0,0,1,0,0,211.34,1
11.0,1,3,0,0,18.79,0
28.0,1,2,0,0,0.0,0
23.0,1,2,0,0,13.0,0
23.0,1,2,0,0,13.0,0
28.5,1,3,0,0,16.1,0
48.0,0,3,1,3,34.38,0
35.0,1,1,0,0,512.33,1
28.0,1,3,0,0,7.9,0
28.0,1,3,0,0,7.9,0
28.0,1,1,0,0,30.0,1
36.0,1,1,1,0,78.85,0
21.0,0,1,2,2,262.38,1
24.0,1,3,1,0,16.1,0
31.0,1,3,0,0,7.92,1
70.0,1,1,1,1,71.0,0
16.0,1,3,1,1,20.25,0
30.0,0,2,0,0,13.0,1
19.0,1,1,1,0,53.1,0
31.0,1,3,0,0,7.75,0
4.0,0,2,1,1,23.0,1
6.0,1,3,0,1,12.48,1
33.0,1,3,0,0,9.5,0
23.0,1,3,0,0,7.9,0
48.0,0,2,1,2,65.0,1
0.7,1,2,1,1,14.5,1
28.0,1,3,0,0,7.8,0
18.0,1,2,0,0,11.5,0
34.0,1,3,0,0,8.05,0
33.0,0,1,0,0,86.5,1
28.0,1,3,0,0,14.5,0
41.0,1,3,0,0,7.12,0
20.0,1,3,0,0,7.23,1
36.0,0,1,1,2,120.0,1
16.0,1,3,0,0,7.78,0
51.0,0,1,1,0,77.96,1
28.0,1,1,0,0,39.6,0
30.5,0,3,0,0,7.75,0
28.0,1,3,1,0,24.15,0
32.0,1,3,0,0,8.36,0
24.0,1,3,0,0,9.5,0
48.0,1,3,0,0,7.85,0
57.0,0,2,0,0,10.5,0
28.0,1,3,0,0,7.22,0
